1816
0	1538	2.000000
1	1816	123.000000
2	1739	0.000000
3	1594	2.000000
4	826	56.000000
5	184	57.000000
6	601	63.000000
7	2271	39.000000
8	376	79.000000
9	633	66.000000
10	1415	55.000000
11	1766	16.000000
12	263	83.000000
13	1125	70.000000
14	1540	54.000000
15	1970	46.000000
16	74	65.000000
17	193	50.000000
18	345	49.000000
19	1352	29.000000
20	560	52.000000
21	1933	2.000000
22	424	36.000000
23	1510	39.000000
24	649	75.000000
25	1917	7.000000
26	514	58.000000
27	534	79.000000
28	2295	95.000000
29	21	55.000000
30	2027	41.000000
31	126	56.000000
32	1568	67.000000
33	218	75.000000
34	2193	40.000000
35	998	48.000000
36	885	38.000000
37	418	33.000000
38	81	44.000000
39	747	61.000000
40	2187	52.000000
41	767	22.000000
42	951	51.000000
43	1939	61.000000
44	813	56.000000
45	1083	69.000000
46	350	37.000000
47	1466	43.000000
48	1247	34.000000
49	445	74.000000
50	490	37.000000
51	2358	83.000000
52	1298	55.000000
53	1404	80.000000
54	2364	48.000000
55	1905	75.000000
56	890	40.000000
57	827	60.000000
58	2073	54.000000
59	908	32.000000
60	1362	69.000000
61	1122	57.000000
62	1035	43.000000
63	1318	60.000000
64	2041	44.000000
65	150	65.000000
66	2016	23.000000
67	2275	39.000000
68	1277	34.000000
69	1243	62.000000
70	2131	43.000000
71	2156	24.000000
72	404	58.000000
73	2136	6.000000
74	1507	51.000000
75	759	20.000000
76	666	36.000000
77	1381	50.000000
78	1085	60.000000
79	273	35.000000
80	1778	42.000000
81	1895	52.000000
82	1374	64.000000
83	1067	65.000000
84	254	73.000000
85	1130	71.000000
86	1328	16.000000
87	582	24.000000
88	469	56.000000
89	319	44.000000
90	1635	54.000000
91	1527	62.000000
92	2348	36.000000
93	132	37.000000
94	932	53.000000
95	1072	43.000000
96	594	34.000000
97	1464	54.000000
98	5	5.000000
99	2212	44.000000
100	1078	32.000000
101	727	23.000000
102	458	32.000000
103	175	27.000000
104	230	50.000000
105	1705	54.000000
106	2070	76.000000
107	1364	57.000000
108	1806	44.000000
